,Cities,Country,Longitude,Latitude,Date,Cloudiness,Temperature Max,Humidity,Wind speed
445,shimoda,JP,138.93,34.7,1555859112,77,64,85,4.03
446,salinopolis,BR,-47.36,-0.61,1555859334,40,82.14,78,11.9
447,concordia,AR,-58.02,-31.4,1555858610,75,66.99,68,17.22
448,caravelas,BR,-39.27,-17.73,1555859335,24,89.88,52,5.17
449,mazara del vallo,IT,12.59,37.65,1555859213,0,71.6,56,33.33
450,petropavlovsk-kamchatskiy,RU,158.65,53.05,1555855200,28,26.6,86,4.47
451,puerto carreno,CO,-67.49,6.19,1555855200,40,87.8,70,6.55
452,kruisfontein,ZA,24.73,-34,1555859336,100,61.26,82,9.42
455,impfondo,CD,18.06,1.62,1555859336,100,90.78,49,3.85
456,ordynskoye,RU,81.9,54.37,1555859336,3,34.8,64,5.44
457,belyy yar,RU,91.39,53.6,1555857000,0,35.6,55,13.42
458,poum,MK,20.71,41.28,1555857000,40,57.2,54,5.82
460,beidao,CN,105.89,34.57,1555859337,100,55.32,51,5.93
461,north platte,US,-100.77,41.12,1555859292,1,63,63,8.05
462,moerai,PF,-151.33,-22.43,1555859337,64,74.94,61,13.6
463,biak,ID,122.88,-0.91,1555859337,100,66.3,99,1.39
464,port moresby,PG,147.16,-9.47,1555855200,20,78.8,94,5.82
465,quang ngai,VN,108.8,15.12,1555859323,30,79.62,74,2.42
466,aguimes,ES,-15.45,27.91,1555859234,20,75.2,47,20.8
467,mattru,SL,-11.83,7.62,1555859338,86,93.48,52,4.14
468,dongfeng,CN,125.53,42.67,1555859338,0,45.78,19,5.21
469,ciudad bolivar,VE,-63.55,8.12,1555859267,46,93.48,38,10.83
470,bend,US,-121.32,44.06,1555859121,1,43,80,3.94
471,katsuura,JP,134.5,33.93,1555859285,75,64,100,2.24
472,normandin,CA,-72.53,48.84,1555855200,75,50,81,11.41
473,pantai remis,MY,100.63,4.46,1555855200,75,84.2,83,1.12
475,winnemucca,US,-117.74,40.97,1555858862,90,44.6,75,16.11
476,pacific grove,US,-121.92,36.62,1555859325,1,53.6,93,7.61
478,ati,TD,18.34,13.21,1555859339,33,106.62,5,15.3
479,charlestown,US,-71.64,41.38,1555859306,90,60.01,100,6.93
480,les cayes,HT,-73.75,18.19,1555859340,36,80.7,70,15.32
481,mugur-aksy,RU,90.44,50.38,1555859340,74,12.84,87,6.04
482,praya,ID,116.27,-8.71,1555858800,20,78.8,94,3.36
483,leningradskiy,RU,178.42,69.38,1555859340,97,-0.48,93,16.31
484,tinaquillo,VE,-68.31,9.92,1555859340,100,79.62,72,0.74
485,rocha,UY,-54.34,-34.48,1555859276,7,64.68,53,9.19
486,nemuro,JP,145.57,43.32,1555859341,86,39.48,73,9.93
487,binzhou,CN,117.96,37.38,1555858335,14,60.01,72,5.59
488,yaring,TH,101.37,6.87,1555859341,57,85.02,78,11.88
489,okitipupa,NG,4.78,6.5,1555859341,50,90.78,59,10.71
490,aklavik,CA,-135.01,68.22,1555855200,5,24.8,92,2.24
491,besuki,ID,113.69,-7.73,1555859342,93,66.84,99,0.85
492,san borja,BO,-66.75,-14.86,1555859342,97,82.14,74,2.75
493,kuandian,CN,124.78,40.73,1555859108,0,47.04,38,4.07
494,orlik,RU,99.83,52.51,1555859342,95,17.88,79,6.51
495,champua,IN,85.66,22.04,1555859343,42,76.56,64,9.4
496,zabid,YE,44.5,14.2,1555859343,70,72.6,69,7
497,tucurui,BR,-49.67,-3.77,1555859343,100,86.1,71,3.11
498,port-de-bouc,FR,4.98,43.4,1555858885,0,68,55,8.05
499,wattegama,LK,80.68,7.35,1555859343,100,76.02,92,2.13
500,kampot,KH,104.18,10.62,1555857000,20,86,83,1.12
501,langxiang,CN,128.87,46.95,1555859344,0,34.08,33,3.24
502,ormara,PK,64.64,25.21,1555859344,0,82.5,58,9.82
503,namibe,AO,12.15,-15.19,1555855200,20,75.2,69,16.11
504,sungairaya,ID,108.9,0.7,1555859344,61,86.64,65,6.2
505,bogandinskiy,RU,65.89,56.89,1555857000,40,46.4,39,8.95
506,general roca,AR,-67.58,-39.03,1555855200,0,57.2,50,12.46
507,ilulissat,GL,-51.1,69.22,1555854600,75,32,91,12.75
508,westport,IE,-9.52,53.8,1555859291,75,59,100,12.75
509,porterville,US,-119.02,36.07,1555859301,1,53.01,70,3.36
510,palmer,AU,139.16,-34.85,1555859272,20,57,71,6.93
511,santa cruz,US,-122.03,36.97,1555859203,1,54,93,15.52
512,sargatskoye,RU,73.49,55.6,1555859350,0,40.2,52,3.2
513,alice springs,AU,133.88,-23.7,1555857000,0,60.8,55,6.93
514,kenai,US,-151.26,60.55,1555859224,90,35.01,80,16.11
515,auki,NG,6.51,12.18,1555859352,38,104.64,6,3.98
516,ponta delgada,PT,-25.67,37.73,1555857000,40,62.6,72,14.99
517,santiago del estero,AR,-64.26,-27.8,1555859221,98,63.96,80,12.41
518,gafanha da encarnacao,PT,-8.73,40.62,1555859104,20,73,49,16.11
519,alugan,PH,125.48,12.22,1555859355,41,75.84,81,6.15
520,komsomolskiy,RU,63.78,67.55,1555859355,100,32.64,97,12.66
521,johnson city,US,-82.35,36.31,1555859158,90,48.99,75,5.82
522,coromandel,NZ,175.5,-36.76,1555859276,100,62.01,89,5.01
523,padilla,CO,-76.31,3.23,1555856100,75,71.6,94,3.36
524,marsa matruh,EG,27.25,31.35,1555855200,40,62.6,55,12.75
525,pangkalanbuun,ID,111.62,-2.68,1555859356,73,76.92,92,2.21
526,moose factory,CA,-80.61,51.26,1555855200,90,28.4,68,11.41
527,tiksi,RU,128.87,71.64,1555859356,35,9.78,74,4.45
528,talas,TR,35.55,38.69,1555856400,75,45,48,16.11
530,ketchikan,US,-131.65,55.34,1555858380,90,42.8,87,28.86
531,valparaiso,US,-87.06,41.47,1555859225,1,66,37,3.36
532,bani,PH,120.27,15.89,1555859357,2,81.78,80,3.74
533,swan hill,AU,143.56,-35.34,1555859163,100,64.86,59,10.09
534,bandarbeyla,SO,50.81,9.49,1555859357,33,82.5,65,14.7
536,tecoanapa,MX,-99.26,16.99,1555854780,5,77,73,3.36
538,necochea,AR,-58.74,-38.55,1555857686,0,64.99,67,7
539,rio grande,BR,-52.1,-32.03,1555855200,90,68,64,9.17
540,sira,IN,76.91,13.74,1555859358,100,92.94,26,5.17
542,brigantine,US,-74.36,39.41,1555859341,1,66.99,55,10.29
543,svencionys,LT,26.17,55.15,1555859359,95,54.6,64,11.39
544,nelson bay,AU,152.14,-32.72,1555859168,79,70,82,5.82
546,yueyang,CN,113.12,29.36,1555859359,0,66.48,77,3.96
548,isangel,VU,169.27,-19.55,1555859359,100,79.44,84,18.57
549,barabai,ID,115.38,-2.59,1555859359,100,76.38,96,1.68
550,hailey,US,-114.32,43.52,1555858829,75,39.2,93,5.82
551,curuguaty,PY,-55.69,-24.47,1555859360,100,80.7,77,3.67
552,si racha,TH,100.93,13.17,1555859343,20,93,70,9.17
553,sorland,NO,12.69,67.67,1555856400,75,44.6,75,23.04
554,kununurra,AU,128.74,-15.77,1555857000,6,75.2,78,5.77
555,yerbogachen,RU,108.01,61.28,1555859361,75,22.38,83,4.27
556,riachao das neves,BR,-44.91,-11.75,1555859312,100,79.98,80,5.57
557,nuuk,GL,-51.74,64.17,1555858962,75,35.6,59,10.29
558,beyneu,KZ,55.19,45.32,1555859361,65,54.24,32,6.24
559,rawson,AR,-65.11,-43.3,1555859361,0,62.34,40,12.59
560,kholtoson,RU,103.31,50.3,1555859361,4,37.5,59,4.5
561,taraz,KZ,71.39,42.89,1555857000,90,46.4,100,8.95
562,makakilo city,US,-158.09,21.35,1555859154,90,75.2,73,6.93
563,diban,SY,40.51,35.02,1555859362,100,60.72,40,14.07
565,klaksvik,FO,-6.59,62.23,1555858200,98,44.6,93,19.46
566,divnogorsk,RU,92.38,55.96,1555857000,40,26.6,92,6.71
567,bealanana,MG,48.75,-14.54,1555859362,100,67.92,96,2.28
568,lashio,MM,97.75,22.93,1555859363,23,75.84,31,2.42
569,bansang,GM,-14.66,13.44,1555859363,33,104.1,11,7.85
570,aasiaat,GL,-52.87,68.71,1555859363,100,30.12,88,24.02
571,guapiles,CR,-83.79,10.22,1555859118,0,80.6,36,18.34
572,pokaran,IN,71.92,26.93,1555859363,0,97.98,12,7.61
574,saint george,GR,22.34,39.45,1555859017,20,66.2,45,13.87
575,xinzhi,TW,120.62,22.54,1555859149,40,77,94,3.36
576,kaoma,ZM,24.8,-14.8,1555859364,26,83.4,46,2.91
578,puerto madryn,AR,-65.04,-42.77,1555859364,2,63.24,39,11.27
579,ambulu,ID,113.61,-8.35,1555859364,74,82.86,80,11.97
580,vostok,RU,135.83,46.45,1555859365,0,33.72,39,1.79
582,port keats,AU,129.55,-14.25,1555859365,56,81.24,78,2.73
583,sinnamary,GF,-52.96,5.38,1555859365,65,81.6,77,13.09
584,taoudenni,ML,-3.98,22.68,1555859365,0,92.22,11,23.04
585,belmopan,BZ,-88.77,17.25,1555858848,40,79,73,3.42
586,banfora,BF,-4.75,10.64,1555859366,74,97.26,35,5.5
587,tulsipur,IN,82.41,27.53,1555859366,100,93.66,17,4.38
588,kananga,CD,22.41,-5.9,1555859366,83,90.42,45,0.36
589,beloha,MG,45.06,-25.17,1555859366,0,77.28,72,11.07
590,morondava,MG,44.28,-20.3,1555859366,1,83.58,80,10.78
591,punta alta,AR,-55.82,-27.46,1555855200,90,69.8,100,5.82
592,elizabeth city,US,-76.22,36.3,1555859352,40,64,63,6.31
593,formosa do rio preto,BR,-45.19,-11.04,1555859367,100,82.86,53,5.93
594,whithorn,JM,-78.04,18.26,1555858822,20,82.4,74,5.82
595,mardin,TR,40.72,37.32,1555858800,75,55.4,71,6.93
596,vila velha,BR,-38.6,-3.71,1555859270,40,84.2,70,5.82
597,tashla,RU,49.75,53.71,1555857000,0,55.4,30,8.95
598,xuddur,SO,43.89,4.12,1555859368,61,91.86,43,15.1
599,moron,VE,-68.2,10.49,1555859368,74,87.54,55,6.35
600,churapcha,RU,132.43,62,1555859368,100,25.98,96,6.11
601,atambua,ID,124.89,-9.11,1555859368,50,83.22,72,13.06
602,backo petrovo selo,RS,20.08,45.71,1555859368,95,67.92,38,7.31
603,batemans bay,AU,150.18,-35.71,1555859175,89,64,96,2.26
604,ossora,RU,163.07,59.24,1555859369,75,29.22,87,1.07
605,vitim,RU,112.57,59.44,1555859369,99,24.18,89,3.38
606,inuvik,CA,-133.71,68.36,1555855200,20,24.8,79,9.17
607,itarema,BR,-39.92,-2.92,1555859369,100,82.68,84,5.91
608,tamiahua,MX,-97.45,21.28,1555859369,0,75.48,72,17.94
609,palana,RU,159.95,59.08,1555859370,26,30.48,90,7.36
610,marawi,PH,124.29,8,1555858872,100,80.01,77,1.99
611,tarauaca,BR,-70.77,-8.16,1555859370,100,87.36,58,3.38
612,hovd,NO,10.7,63.83,1555859116,75,48.99,81,3.36
613,shache,CN,77.24,38.42,1555859357,74,79.98,12,3.06
614,makat,KZ,53.35,47.65,1555859370,100,55.14,27,7.49
615,mangrol,IN,76.51,25.33,1555859370,0,94.56,16,1.3
616,luderitz,NA,15.16,-26.65,1555855200,0,69.8,60,25.28
617,mount gambier,AU,140.78,-37.83,1555855200,90,48.2,93,8.97
618,bud,NO,6.91,62.91,1555858861,90,48.2,93,10.29
619,puerto penasco,MX,-113.53,31.32,1555858859,0,69.01,76,11.01
620,garowe,SO,48.48,8.41,1555859242,73,91.5,38,2.62
621,ranau,MY,116.67,5.95,1555858817,75,84.2,79,3.36
622,college,US,-147.8,64.86,1555859158,75,32,63,5.82
623,glendive,US,-104.71,47.11,1555857300,40,44.6,100,12.75
624,oxapampa,PE,-75.4,-10.58,1555859372,95,53.7,82,3.62
626,yulara,AU,130.99,-25.24,1555855200,0,62.6,33,10.29
627,espanola,CA,-81.77,46.27,1555859144,99,51.01,54,3.89
